vernacular,scientific,size,wingspan,order,family,map_url,image_url,audio_url
Serin du Cap,Serinus canicollis,14 cm,-,Passériformes,Fringillidés,,"['https://www.oiseaux.net/photos/robert.balestra/images/id/serin.du.cap.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/serin.du.cap.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/id/serin.du.cap.jabu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/id/serin.du.cap.palh.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/serin.du.cap.cala.3p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/serin.du.cap.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/serin.du.cap.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/serin.du.cap.cala.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/serin.du.cap.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/serin.du.cap.pava.2p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/serin.du.cap.loep.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/serin.du.cap.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.leviez/images/serin.du.cap.frle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/serin.du.cap.loep.2p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/serin.du.cap.frgr.1p.152.h.jpg', 'https://www.oiseaux.net/photos/pascal.bernardin/images/serin.du.cap.pber.1p.152.h.jpg']",
Paruline à couronne rousse,Setophaga palmarum,14 cm,20 à 21 cm.,Passériformes,Parulidés,https://www.oiseaux.net/maps/images/paruline.a.couronne.rousse.200.w.jpg,"['https://www.oiseaux.net/photos/stanislas.gallen/images/paruline.a.couronne.rousse.stan.4p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/paruline.a.couronne.rousse.stan.3p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/paruline.a.couronne.rousse.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/paruline.a.couronne.rousse.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/paruline.a.couronne.rousse.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/paruline.a.couronne.rousse.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/paruline.a.couronne.rousse.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/paruline.a.couronne.rousse.dibu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dan.stefanescu/images/paruline.a.couronne.rousse.dast.1p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/paruline.a.couronne.rousse.frfo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/paruline.a.couronne.rousse.frfo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/paruline.a.couronne.rousse.fori.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/paruline.a.couronne.rousse.fori.2p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/paruline.a.couronne.rousse.133256.mp3
Fou à pieds rouges,Sula sula,77 cm,91 à 101 cm.,Suliformes,Sulidés,https://www.oiseaux.net/maps/images/fou.a.pieds.rouges.200.w.jpg,"['https://www.oiseaux.net/photos/francois.sanz/images/id/fou.a.pieds.rouges.frsa.6p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/fou.a.pieds.rouges.lape.3p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/fou.a.pieds.rouges.auau.2p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/id/fou.a.pieds.rouges.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/fou.a.pieds.rouges.lape.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/id/fou.a.pieds.rouges.pain.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/id/fou.a.pieds.rouges.sepa.7p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/fou.a.pieds.rouges.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/fou.a.pieds.rouges.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/fou.a.pieds.rouges.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/fou.a.pieds.rouges.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/fou.a.pieds.rouges.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/fou.a.pieds.rouges.frfo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/fou.a.pieds.rouges.syur.1p.152.h.jpg']",
Guillemot à cou blanc,Synthliboramphus antiquus,27 cm,-,Charadriiformes,Alcidés,,"['https://www.oiseaux.net/photos/dora.zarzavatsaki/images/guillemot.a.cou.blanc.doza.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dora.zarzavatsaki/images/guillemot.a.cou.blanc.doza.1p.152.h.jpg']",
Mouette de Bonaparte,Chroicocephalus philadelphia,30 cm,78 à 84 cm.,Charadriiformes,Laridés,,"['https://www.oiseaux.net/photos/hans.spiecker/images/id/mouette.de.bonaparte.hasp.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/id/mouette.de.bonaparte.mica.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/id/mouette.de.bonaparte.pain.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/id/mouette.de.bonaparte.mica.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/mouette.de.bonaparte.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nicolas.bastide/images/mouette.de.bonaparte.niba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/mouette.de.bonaparte.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/mouette.de.bonaparte.fori.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/mouette.de.bonaparte.nism.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/mouette.de.bonaparte.nism.3p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/mouette.de.bonaparte.nism.4p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/mouette.de.bonaparte.nism.6p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/mouette.de.bonaparte.mica.4p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/mouette.de.bonaparte.mica.2p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/mouette.de.bonaparte.523643.mp3
Huîtrier d'Amérique,Haematopus palliatus,44 cm,-,Charadriiformes,Haematopodidés,https://www.oiseaux.net/maps/images/huitrier.d.amerique.200.w.jpg,"['https://www.oiseaux.net/photos/michel.lamarche/images/id/huitrier.d.amerique.mila.18p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/huitrier.d.amerique.mila.13p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/huitrier.d.amerique.mila.9p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/huitrier.d.amerique.mila.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/huitrier.d.amerique.dogo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/huitrier.d.amerique.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/huitrier.d.amerique.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/huitrier.d.amerique.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/huitrier.d.amerique.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/huitrier.d.amerique.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/huitrier.d.amerique.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/huitrier.d.amerique.syur.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dan.stefanescu/images/huitrier.d.amerique.dast.1p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/huitrier.d.amerique.frfo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/huitrier.d.amerique.frfo.2p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/huitrier.d.amerique.572419.mp3
Héron mélanocéphale,Ardea melanocephala,96 cm,150 à 160 cm.,Pélécaniformes,Ardéidés,,"['https://www.oiseaux.net/photos/robert.balestra/images/id/heron.melanocephale.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/heron.melanocephale.lape.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/id/heron.melanocephale.stme.2p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/id/heron.melanocephale.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/callie.de.wet/images/id/heron.melanocephale.cadw.4p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/heron.melanocephale.anco.2p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/heron.melanocephale.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/heron.melanocephale.anco.5p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/heron.melanocephale.anco.6p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/heron.melanocephale.anco.7p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/heron.melanocephale.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/olivier.morlot/images/heron.melanocephale.olmo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/heron.melanocephale.dogo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/yannick.francois/images/heron.melanocephale.yafr.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/heron.melanocephale.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/heron.melanocephale.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/heron.melanocephale.syur.3p.152.h.jpg']",
Tarin des aulnes,Spinus spinus,12 cm,-,Passériformes,Fringillidés,https://www.oiseaux.net/maps/images/tarin.des.aulnes.200.w.jpg,"['https://www.oiseaux.net/photos/christophe.mercier/images/id/tarin.des.aulnes.chme.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/tarin.des.aulnes.jmpo.11p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/tarin.des.aulnes.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.hendrick/images/id/tarin.des.aulnes.rohe.5p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/id/tarin.des.aulnes.rlcn.4p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/tarin.des.aulnes.redu.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.hendrick/images/id/tarin.des.aulnes.rohe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/id/tarin.des.aulnes.nasa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jules.fouarge/images/id/tarin.des.aulnes.jufo.28p.152.h.jpg', 'https://www.oiseaux.net/photos/paul-rene.meffre/images/id/tarin.des.aulnes.prme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.libert/images/id/tarin.des.aulnes.lixa.8p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/tarin.des.aulnes.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul-rene.meffre/images/id/tarin.des.aulnes.prme.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jules.fouarge/images/id/tarin.des.aulnes.jufo.21p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.fichter/images/id/tarin.des.aulnes.pafi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.riviere/images/id/tarin.des.aulnes.jari.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/tarin.des.aulnes.roba.2p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/tarin.des.aulnes.128489.mp3
Corbeau freux,Corvus frugilegus,46 cm,81 à 94 cm.,Passériformes,Corvidés,https://www.oiseaux.net/maps/images/corbeau.freux.200.w.jpg,"['https://www.oiseaux.net/photos/lars.petersson/images/id/corbeau.freux.lape.1p.152.h.jpg', 'https://www.oiseaux.net/photos/christophe.mercier/images/id/corbeau.freux.chme.15p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/id/corbeau.freux.rlcn.1p.152.h.jpg', 'https://www.oiseaux.net/photos/serge.vantrimpont/images/id/corbeau.freux.seva.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/corbeau.freux.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/corbeau.freux.dico.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/corbeau.freux.dico.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/corbeau.freux.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.freux.anco.2p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.freux.anco.6p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.freux.anco.7p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.freux.anco.8p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.freux.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.rabosee/images/corbeau.freux.dira.2p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/corbeau.freux.juda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/corbeau.freux.juda.3p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/corbeau.freux.stan.1p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/corbeau.freux.1.mp3
Fauvette grisette,Curruca communis,14 cm,22 cm.,Passériformes,Sylviidés,https://www.oiseaux.net/maps/images/fauvette.grisette.200.w.jpg,"['https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/fauvette.grisette.jmpo.31p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.enoch/images/id/fauvette.grisette.heen.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/fauvette.grisette.jmpo.16p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/fauvette.grisette.redu.12p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/fauvette.grisette.redu.9p.152.h.jpg', 'https://www.oiseaux.net/photos/remy.lepron/images/id/fauvette.grisette.rlep.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/fauvette.grisette.jmpo.33p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/fauvette.grisette.redu.11p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.riviere/images/id/fauvette.grisette.jari.7p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/fauvette.grisette.jmpo.32p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.enoch/images/id/fauvette.grisette.heen.7p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/id/fauvette.grisette.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/fauvette.grisette.auau.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/id/fauvette.grisette.gevi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.riviere/images/id/fauvette.grisette.jari.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/id/fauvette.grisette.jabu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.fichter/images/id/fauvette.grisette.pafi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/fauvette.grisette.jmpo.17p.152.h.jpg']",https://www.oiseaux.net/chant/didier.collin/fauvette.grisette.1.mp3
Pouillot montagnard,Phylloscopus sindianus,12 cm,-,Passériformes,Phylloscopidés,,"['https://www.oiseaux.net/photos/frederic.pelsy/images/id/pouillot.montagnard.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pouillot.montagnard.mafa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pouillot.montagnard.mafa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pouillot.montagnard.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pouillot.montagnard.mafa.5p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pouillot.montagnard.mafa.6p.152.h.jpg', 'https://www.oiseaux.net/photos/titouan.roguet/images/pouillot.montagnard.tiro.1p.152.h.jpg', 'https://www.oiseaux.net/photos/titouan.roguet/images/pouillot.montagnard.tiro.2p.152.h.jpg', 'https://www.oiseaux.net/photos/titouan.roguet/images/pouillot.montagnard.tiro.3p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/pouillot.montagnard.lape.1p.152.h.jpg', 'https://www.oiseaux.net/photos/andre.wiertz/images/pouillot.montagnard.anwi.3p.152.h.jpg', 'https://www.oiseaux.net/photos/andre.wiertz/images/pouillot.montagnard.anwi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/andre.wiertz/images/pouillot.montagnard.anwi.1p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/pouillot.montagnard.139522.mp3
Guêpier d'Europe,Merops apiaster,28 cm,44 à 49 cm.,Coraciiformes,Méropidés,,"['https://www.oiseaux.net/photos/didier.perrocheau/images/id/guepier.d.europe.dipe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/stephan.dubois/images/id/guepier.d.europe.stdu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/guepier.d.europe.jmpo.19p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.riviere/images/id/guepier.d.europe.jari.16p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/guepier.d.europe.auau.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.8p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.7p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/guepier.d.europe.dico.4p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/guepier.d.europe.clda.2p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/guepier.d.europe.gibl.4p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/guepier.d.europe.gibl.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.bats/images/guepier.d.europe.diba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/guepier.d.europe.adca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/guepier.d.europe.adca.2p.152.h.jpg']",https://www.oiseaux.net/chant/franck.bruneliere/guepier.d.europe.1.mp3
Viréo à oeil rouge,Vireo olivaceus,16 cm,23 à 25 cm.,Passériformes,Viréonidés,https://www.oiseaux.net/maps/images/vireo.a.oeil.rouge.200.w.jpg,"['https://www.oiseaux.net/photos/michel.lamarche/images/id/vireo.a.oeil.rouge.mila.1p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/id/vireo.a.oeil.rouge.juda.8p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/vireo.a.oeil.rouge.mila.4p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/vireo.a.oeil.rouge.mila.2p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.ponthieux/images/id/vireo.a.oeil.rouge.yapo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/yvon.toupin/images/id/vireo.a.oeil.rouge.yvto.2p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.lortie/images/id/vireo.a.oeil.rouge.relo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/vireo.a.oeil.rouge.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/id/vireo.a.oeil.rouge.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/rachel.bilodeau/images/id/vireo.a.oeil.rouge.rabi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/id/vireo.a.oeil.rouge.mica.2p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/vireo.a.oeil.rouge.ghri.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/vireo.a.oeil.rouge.ghri.2p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/vireo.a.oeil.rouge.ghri.3p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/vireo.a.oeil.rouge.ghri.5p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/vireo.a.oeil.rouge.mafa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/vireo.a.oeil.rouge.stan.1p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/vireo.a.oeil.rouge.894360.mp3
Paruline couronnée,Seiurus aurocapilla,15 cm,19 à 26 cm.,Passériformes,Parulidés,https://www.oiseaux.net/maps/images/paruline.couronnee.200.w.jpg,"['https://www.oiseaux.net/photos/yann.ponthieux/images/paruline.couronnee.yapo.5p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.ponthieux/images/paruline.couronnee.yapo.4p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.ponthieux/images/paruline.couronnee.yapo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.ponthieux/images/paruline.couronnee.yapo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/paruline.couronnee.thbe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/paruline.couronnee.thbe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/paruline.couronnee.palh.1p.152.h.jpg', 'https://www.oiseaux.net/photos/alfredo.colon/images/paruline.couronnee.alca.2p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.lortie/images/paruline.couronnee.relo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/paruline.couronnee.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/paruline.couronnee.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/paruline.couronnee.roba.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/paruline.couronnee.roba.4p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/paruline.couronnee.133247.mp3
Paruline à croupion jaune,Setophaga coronata,15 cm,19 à 23 cm.,Passériformes,Parulidés,https://www.oiseaux.net/maps/images/paruline.a.croupion.jaune.200.w.jpg,"['https://www.oiseaux.net/photos/dominique.cavey/images/id/paruline.a.croupion.jaune.doca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.1p.152.h.jpg', 'https://www.oiseaux.net/photos/hans.spiecker/images/id/paruline.a.croupion.jaune.hasp.9p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.11p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/paruline.a.croupion.jaune.jefe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.5p.152.h.jpg', 'https://www.oiseaux.net/photos/luc.durocher/images/id/paruline.a.croupion.jaune.ludu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.8p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/id/paruline.a.croupion.jaune.fori.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/id/paruline.a.croupion.jaune.fori.3p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.13p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/id/paruline.a.croupion.jaune.fori.2p.152.h.jpg', 'https://www.oiseaux.net/photos/rachel.bilodeau/images/id/paruline.a.croupion.jaune.rabi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/id/paruline.a.croupion.jaune.hemi.8p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/paruline.a.croupion.jaune.mila.9p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/id/paruline.a.croupion.jaune.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/georges.olioso/images/id/paruline.a.croupion.jaune.geol.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/paruline.a.croupion.jaune.jefe.3p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/paruline.a.croupion.jaune.133249.mp3
